pair_a,pair_b,seed,orientation,seat0,seat1,status0,status1,reward0,reward1,winner,margin0,runtime_seconds,error
v5,v6,5105,A0_B1,v5,v6,DONE,DONE,47207.0,56442.0,v6,-9235.0,6.8945,
v5,v6,5105,B0_A1,v6,v5,DONE,DONE,54291.0,48402.0,v6,5889.0,6.9061,
v5,v6,5106,A0_B1,v5,v6,DONE,DONE,47071.0,53751.0,v6,-6680.0,6.7623,
v5,v6,5106,B0_A1,v6,v5,DONE,DONE,53751.0,47071.0,v6,6680.0,6.8073,
v5,v6,5107,A0_B1,v5,v6,DONE,DONE,47375.0,54849.0,v6,-7474.0,7.2063,
v5,v6,5107,B0_A1,v6,v5,DONE,DONE,54849.0,47375.0,v6,7474.0,7.209,
v5,v6,5108,A0_B1,v5,v6,DONE,DONE,44087.0,51924.0,v6,-7837.0,7.0849,
v5,v6,5108,B0_A1,v6,v5,DONE,DONE,51924.0,44087.0,v6,7837.0,7.2027,
v5,v6,5109,A0_B1,v5,v6,DONE,DONE,43902.0,49753.0,v6,-5851.0,6.8133,
v5,v6,5109,B0_A1,v6,v5,DONE,DONE,51325.0,46002.0,v6,5323.0,6.7964,
v5,v6,5110,A0_B1,v5,v6,DONE,DONE,46146.0,56019.0,v6,-9873.0,6.9377,
v5,v6,5110,B0_A1,v6,v5,DONE,DONE,55605.0,46146.0,v6,9459.0,7.0022,
v5,v6,5111,A0_B1,v5,v6,DONE,DONE,47021.0,53078.0,v6,-6057.0,6.7527,
v5,v6,5111,B0_A1,v6,v5,DONE,DONE,53958.0,47053.0,v6,6905.0,6.7755,
v5,v6,5112,A0_B1,v5,v6,DONE,DONE,47198.0,54083.0,v6,-6885.0,8.1971,
v5,v6,5112,B0_A1,v6,v5,DONE,DONE,54165.0,47377.0,v6,6788.0,8.154,
v5,v6,5113,A0_B1,v5,v6,DONE,DONE,47119.0,52945.0,v6,-5826.0,6.8064,
v5,v6,5113,B0_A1,v6,v5,DONE,DONE,53173.0,47228.0,v6,5945.0,6.8437,
v5,v6,5114,A0_B1,v5,v6,DONE,DONE,46635.0,55412.0,v6,-8777.0,6.8258,
v5,v6,5114,B0_A1,v6,v5,DONE,DONE,55290.0,46634.0,v6,8656.0,6.7469,
v5,v6,5115,A0_B1,v5,v6,DONE,DONE,45108.0,50654.0,v6,-5546.0,6.6894,
v5,v6,5115,B0_A1,v6,v5,DONE,DONE,50464.0,45107.0,v6,5357.0,6.7819,
v5,v6,5116,A0_B1,v5,v6,DONE,DONE,45009.0,51408.0,v6,-6399.0,6.8172,
v5,v6,5116,B0_A1,v6,v5,DONE,DONE,51408.0,45009.0,v6,6399.0,6.8521,
v5,v6,5117,A0_B1,v5,v6,DONE,DONE,46808.0,55560.0,v6,-8752.0,6.7997,
v5,v6,5117,B0_A1,v6,v5,DONE,DONE,55560.0,46808.0,v6,8752.0,6.8148,
v5,v6,5118,A0_B1,v5,v6,DONE,DONE,44689.0,50545.0,v6,-5856.0,6.8891,
v5,v6,5118,B0_A1,v6,v5,DONE,DONE,50798.0,44689.0,v6,6109.0,6.8125,
v5,v6,5119,A0_B1,v5,v6,DONE,DONE,48133.0,52624.0,v6,-4491.0,6.7615,
v5,v6,5119,B0_A1,v6,v5,DONE,DONE,54491.0,47894.0,v6,6597.0,6.9086,
v5,v6,5120,A0_B1,v5,v6,DONE,DONE,47957.0,57915.0,v6,-9958.0,6.8756,
v5,v6,5120,B0_A1,v6,v5,DONE,DONE,62175.0,47791.0,v6,14384.0,6.5648,
