variant,family,layer,expert,count,weight_sum
base,bit_manipulation,3,73,29,11.42828132212162
base,bit_manipulation,3,39,42,13.82070568203926
base,bit_manipulation,3,56,46,15.832553714513779
base,bit_manipulation,3,60,70,33.47795036435127
base,bit_manipulation,3,81,352,191.17269748449326
base,bit_manipulation,3,109,24,8.467539548873901
base,bit_manipulation,3,36,102,47.82277166843414
base,bit_manipulation,3,76,36,15.139422059059143
base,bit_manipulation,3,63,51,17.82321262359619
base,bit_manipulation,3,0,73,31.72036424279213
base,bit_manipulation,3,115,48,19.302075922489166
base,bit_manipulation,3,120,15,10.482110381126404
base,bit_manipulation,3,51,16,7.209392338991165
base,bit_manipulation,3,53,19,7.579387456178665
base,bit_manipulation,3,26,45,14.454472824931145
base,bit_manipulation,3,21,8,2.7122018933296204
base,bit_manipulation,3,61,12,6.276512503623962
base,bit_manipulation,3,66,102,41.748612493276596
base,bit_manipulation,3,50,12,4.820601671934128
base,bit_manipulation,3,92,26,9.271846652030945
base,bit_manipulation,3,43,221,95.32475957274437
base,bit_manipulation,3,75,73,27.148977413773537
base,bit_manipulation,3,111,23,7.561624199151993
base,bit_manipulation,3,65,12,5.742341071367264
base,bit_manipulation,3,91,4,1.7042299211025238
base,bit_manipulation,3,107,77,27.860685348510742
base,bit_manipulation,3,121,22,8.192856460809708
base,bit_manipulation,3,74,68,35.08424124121666
base,bit_manipulation,3,15,84,32.97184158861637
base,bit_manipulation,3,49,32,13.466626048088074
base,bit_manipulation,3,37,16,9.093753069639206
base,bit_manipulation,3,59,14,3.652746334671974
base,bit_manipulation,3,10,49,26.2681415528059
base,bit_manipulation,3,33,53,26.095712512731552
base,bit_manipulation,3,68,30,10.643474966287613
base,bit_manipulation,3,22,24,9.89856243133545
base,bit_manipulation,3,78,145,58.3091256916523
base,bit_manipulation,3,71,92,33.0049467086792
base,bit_manipulation,3,114,16,5.7241575717926025
base,bit_manipulation,3,110,42,19.795104563236237
base,bit_manipulation,3,18,16,6.63781076669693
base,bit_manipulation,3,127,35,15.096384644508362
base,bit_manipulation,3,19,42,20.595947295427322
base,bit_manipulation,3,87,38,16.395254462957382
base,bit_manipulation,3,47,25,8.35044002532959
base,bit_manipulation,3,29,4,0.9793947488069534
base,bit_manipulation,3,57,16,6.701973706483841
base,bit_manipulation,3,88,21,6.565876141190529
base,bit_manipulation,3,90,52,22.878812670707703
base,bit_manipulation,3,17,5,2.638684630393982
base,bit_manipulation,3,80,11,5.069303661584854
base,bit_manipulation,3,117,72,30.654868066310883
base,bit_manipulation,3,82,76,31.425260066986084
base,bit_manipulation,3,95,36,13.418887674808502
