variant,layer,expert,count,weight_sum,family_coverage,total_families,balanced_routing_share,balanced_weight_share,rank_in_layer,up_proj_module,down_proj_module
base,34,97,715,309.65396159887314,6,6,0.04007184554474759,0.041660713915604525,5,backbone.layers.34.mixer.experts.97.up_proj,backbone.layers.34.mixer.experts.97.down_proj
base,34,57,599,286.19015397131443,6,6,0.033394530156678495,0.03944676331577302,6,backbone.layers.34.mixer.experts.57.up_proj,backbone.layers.34.mixer.experts.57.down_proj
base,34,21,358,120.13515155017376,6,6,0.026273161358284218,0.02143712589552445,7,backbone.layers.34.mixer.experts.21.up_proj,backbone.layers.34.mixer.experts.21.down_proj
base,34,124,549,224.59922769665718,6,6,0.025819578295005714,0.025061177106343688,8,backbone.layers.34.mixer.experts.124.up_proj,backbone.layers.34.mixer.experts.124.down_proj
base,36,14,2321,1213.9866629689932,6,6,0.11739887238561239,0.14727013107198933,1,backbone.layers.36.mixer.experts.14.up_proj,backbone.layers.36.mixer.experts.14.down_proj
base,36,93,1216,420.4953187331557,6,6,0.06069909518829408,0.04989562341245936,2,backbone.layers.36.mixer.experts.93.up_proj,backbone.layers.36.mixer.experts.93.down_proj
base,36,28,997,391.07441479712725,6,6,0.051438003666578004,0.049289133371177726,3,backbone.layers.36.mixer.experts.28.up_proj,backbone.layers.36.mixer.experts.28.down_proj
base,36,82,884,363.38275220245123,6,6,0.042479766930271334,0.03981880083593238,4,backbone.layers.36.mixer.experts.82.up_proj,backbone.layers.36.mixer.experts.82.down_proj
base,36,24,572,206.6405926719308,6,6,0.028946004750688398,0.024355616061313774,5,backbone.layers.36.mixer.experts.24.up_proj,backbone.layers.36.mixer.experts.24.down_proj
base,36,105,454,198.54960227757692,6,6,0.028634922348380325,0.02986638841322123,6,backbone.layers.36.mixer.experts.105.up_proj,backbone.layers.36.mixer.experts.105.down_proj
base,36,40,489,224.39311201870441,6,6,0.02811136137794761,0.03089260222005104,7,backbone.layers.36.mixer.experts.40.up_proj,backbone.layers.36.mixer.experts.40.down_proj
base,36,27,429,196.45669266581535,6,6,0.02448895058531348,0.02776825883921897,8,backbone.layers.36.mixer.experts.27.up_proj,backbone.layers.36.mixer.experts.27.down_proj
base,3,62,281,113.4954746067524,6,6,0.016737471414362447,0.015963631204764614,1,backbone.layers.3.mixer.experts.62.up_proj,backbone.layers.3.mixer.experts.62.down_proj
base,3,115,284,120.07984426617622,6,6,0.01652262847342849,0.016918367265803397,2,backbone.layers.3.mixer.experts.115.up_proj,backbone.layers.3.mixer.experts.115.down_proj
base,3,70,343,118.43716023862362,6,6,0.016110982877138847,0.01318292298645333,3,backbone.layers.3.mixer.experts.70.up_proj,backbone.layers.3.mixer.experts.70.down_proj
base,3,81,448,230.6532532721758,6,6,0.016009868655605893,0.018999534035897533,4,backbone.layers.3.mixer.experts.81.up_proj,backbone.layers.3.mixer.experts.81.down_proj
base,3,9,265,104.86040362715721,6,6,0.015195630481742058,0.014200084828312063,5,backbone.layers.3.mixer.experts.9.up_proj,backbone.layers.3.mixer.experts.9.down_proj
base,3,37,251,124.24495761096478,6,6,0.014504358131500404,0.01730771942794417,6,backbone.layers.3.mixer.experts.37.up_proj,backbone.layers.3.mixer.experts.37.down_proj
base,3,5,256,91.79212701320648,6,6,0.014499378325058593,0.012445028975580636,7,backbone.layers.3.mixer.experts.5.up_proj,backbone.layers.3.mixer.experts.5.down_proj
base,3,117,275,125.84933540225029,6,6,0.01421904194011615,0.01560085034936748,8,backbone.layers.3.mixer.experts.117.up_proj,backbone.layers.3.mixer.experts.117.down_proj
base,1,12,618,249.69960771501064,6,6,0.023650022515877018,0.022871078804491744,1,backbone.layers.1.mixer.experts.12.up_proj,backbone.layers.1.mixer.experts.12.down_proj
base,1,68,367,135.59677711874247,6,6,0.018380249477748776,0.016316499098256013,2,backbone.layers.1.mixer.experts.68.up_proj,backbone.layers.1.mixer.experts.68.down_proj
base,1,109,330,152.5547193288803,6,6,0.01712266717315817,0.018966765097350825,3,backbone.layers.1.mixer.experts.109.up_proj,backbone.layers.1.mixer.experts.109.down_proj
base,1,6,339,122.1355237364769,6,6,0.015699502817747464,0.013173587493342253,4,backbone.layers.1.mixer.experts.6.up_proj,backbone.layers.1.mixer.experts.6.down_proj
base,1,76,314,123.85725849866867,6,6,0.015634494439716234,0.014923111000676507,5,backbone.layers.1.mixer.experts.76.up_proj,backbone.layers.1.mixer.experts.76.down_proj
base,1,38,266,114.88418310880661,6,6,0.01554107294357696,0.016141548414194826,6,backbone.layers.1.mixer.experts.38.up_proj,backbone.layers.1.mixer.experts.38.down_proj
base,1,103,312,122.05952283740044,6,6,0.015245911230256998,0.014244558553789758,7,backbone.layers.1.mixer.experts.103.up_proj,backbone.layers.1.mixer.experts.103.down_proj
base,1,80,289,119.86126840114594,6,6,0.015217050324952148,0.015083723215304136,8,backbone.layers.1.mixer.experts.80.up_proj,backbone.layers.1.mixer.experts.80.down_proj
base,43,83,1660,1101.4782682731748,6,6,0.07813723693331157,0.1202652441035218,1,backbone.layers.43.mixer.experts.83.up_proj,backbone.layers.43.mixer.experts.83.down_proj
base,43,51,1009,605.2000536806881,6,6,0.05528302690263423,0.07560476864214374,2,backbone.layers.43.mixer.experts.51.up_proj,backbone.layers.43.mixer.experts.51.down_proj
base,43,46,752,385.6585676372051,6,6,0.04440544075445882,0.05719549501907709,3,backbone.layers.43.mixer.experts.46.up_proj,backbone.layers.43.mixer.experts.46.down_proj
base,43,56,709,358.4312466830015,6,6,0.04165471672520066,0.053172435701120194,4,backbone.layers.43.mixer.experts.56.up_proj,backbone.layers.43.mixer.experts.56.down_proj
base,43,93,633,208.47933633252978,6,6,0.03456170797982212,0.02934046752635816,5,backbone.layers.43.mixer.experts.93.up_proj,backbone.layers.43.mixer.experts.93.down_proj
base,43,29,533,147.1391512863338,6,6,0.02766606207794584,0.01877110019527927,6,backbone.layers.43.mixer.experts.29.up_proj,backbone.layers.43.mixer.experts.29.down_proj
base,43,120,471,145.43085561320186,6,6,0.02553184839747507,0.01868363666554876,7,backbone.layers.43.mixer.experts.120.up_proj,backbone.layers.43.mixer.experts.120.down_proj
base,43,109,503,203.13277442008257,6,6,0.024623611309207448,0.023469846469289974,8,backbone.layers.43.mixer.experts.109.up_proj,backbone.layers.43.mixer.experts.109.down_proj
base,17,59,1024,458.0915287544485,6,6,0.05065270091486999,0.05481289406854348,1,backbone.layers.17.mixer.experts.59.up_proj,backbone.layers.17.mixer.experts.59.down_proj
base,17,109,1087,624.6199018657207,6,6,0.04810076594358703,0.06644774419829981,2,backbone.layers.17.mixer.experts.109.up_proj,backbone.layers.17.mixer.experts.109.down_proj
base,17,47,754,399.8938039243221,6,6,0.04299569895603676,0.05602972077428614,3,backbone.layers.17.mixer.experts.47.up_proj,backbone.layers.17.mixer.experts.47.down_proj
base,17,36,627,238.6290963590145,6,6,0.035425734855341874,0.032294281659128815,4,backbone.layers.17.mixer.experts.36.up_proj,backbone.layers.17.mixer.experts.36.down_proj
base,17,102,805,416.25472493469715,6,6,0.033099992772716344,0.039551902715341695,5,backbone.layers.17.mixer.experts.102.up_proj,backbone.layers.17.mixer.experts.102.down_proj
base,17,19,548,341.3506501019001,6,6,0.03157650016404816,0.04725258857185291,6,backbone.layers.17.mixer.experts.19.up_proj,backbone.layers.17.mixer.experts.19.down_proj
base,17,74,570,256.7458440363407,6,6,0.03063588130004179,0.03418097547478881,7,backbone.layers.17.mixer.experts.74.up_proj,backbone.layers.17.mixer.experts.74.down_proj
base,17,62,668,332.0309366583824,6,6,0.028831570436442345,0.036837356502652185,8,backbone.layers.17.mixer.experts.62.up_proj,backbone.layers.17.mixer.experts.62.down_proj
base,20,16,1393,662.1944563537836,6,6,0.07928940741760443,0.09262800571841875,1,backbone.layers.20.mixer.experts.16.up_proj,backbone.layers.20.mixer.experts.16.down_proj
base,20,23,1431,658.3449990302324,6,6,0.06696621157471552,0.07374011284689097,2,backbone.layers.20.mixer.experts.23.up_proj,backbone.layers.20.mixer.experts.23.down_proj
base,20,85,923,363.50207260251045,6,6,0.046880107688933345,0.04355596949320043,3,backbone.layers.20.mixer.experts.85.up_proj,backbone.layers.20.mixer.experts.85.down_proj
base,20,58,714,289.83212871849537,6,6,0.04037961848792192,0.0385156467159188,4,backbone.layers.20.mixer.experts.58.up_proj,backbone.layers.20.mixer.experts.58.down_proj
base,20,52,779,369.87512044608593,6,6,0.03505128754823439,0.03796322286997118,5,backbone.layers.20.mixer.experts.52.up_proj,backbone.layers.20.mixer.experts.52.down_proj
base,20,116,692,400.73834851384163,6,6,0.030972236389641392,0.044067710544891094,6,backbone.layers.20.mixer.experts.116.up_proj,backbone.layers.20.mixer.experts.116.down_proj
base,20,82,536,214.11012674868107,6,6,0.02929587910492533,0.027874117118953184,7,backbone.layers.20.mixer.experts.82.up_proj,backbone.layers.20.mixer.experts.82.down_proj
base,20,91,481,172.7097549289465,6,6,0.025224941921461526,0.021534120058433283,8,backbone.layers.20.mixer.experts.91.up_proj,backbone.layers.20.mixer.experts.91.down_proj
base,13,48,1786,880.8562222123146,6,6,0.09786251581618999,0.11697471940851115,1,backbone.layers.13.mixer.experts.48.up_proj,backbone.layers.13.mixer.experts.48.down_proj
base,13,34,1001,440.5560289770365,6,6,0.05947702960218976,0.06396260109415394,2,backbone.layers.13.mixer.experts.34.up_proj,backbone.layers.13.mixer.experts.34.down_proj
base,13,4,1212,627.9537210613489,6,6,0.05174279892133305,0.06019437900375427,3,backbone.layers.13.mixer.experts.4.up_proj,backbone.layers.13.mixer.experts.4.down_proj
base,13,3,811,333.7441461831331,6,6,0.04221206875235954,0.04137908804315881,4,backbone.layers.13.mixer.experts.3.up_proj,backbone.layers.13.mixer.experts.3.down_proj
base,13,46,587,234.51576951146126,6,6,0.035174004836064476,0.03343949032554499,5,backbone.layers.13.mixer.experts.46.up_proj,backbone.layers.13.mixer.experts.46.down_proj
base,13,120,627,279.46320900321007,6,6,0.034789408084333354,0.036619506772038644,6,backbone.layers.13.mixer.experts.120.up_proj,backbone.layers.13.mixer.experts.120.down_proj
base,13,19,567,251.8296920955181,6,6,0.031626019571623976,0.03396575271193084,7,backbone.layers.13.mixer.experts.19.up_proj,backbone.layers.13.mixer.experts.19.down_proj
base,13,62,437,196.5496699810028,6,6,0.02567631228259407,0.02776580556912484,8,backbone.layers.13.mixer.experts.62.up_proj,backbone.layers.13.mixer.experts.62.down_proj
base,10,48,1272,558.8863586336374,6,6,0.06131236827970683,0.06615362351900894,1,backbone.layers.10.mixer.experts.48.up_proj,backbone.layers.10.mixer.experts.48.down_proj
base,10,37,1026,446.71534064412117,6,6,0.05444356827582895,0.055662338728955076,2,backbone.layers.10.mixer.experts.37.up_proj,backbone.layers.10.mixer.experts.37.down_proj
base,10,46,869,385.1870290786028,6,6,0.053454228214508605,0.057604242061494566,3,backbone.layers.10.mixer.experts.46.up_proj,backbone.layers.10.mixer.experts.46.down_proj
base,10,19,1070,475.69331699609756,6,6,0.05227191957385808,0.05569605897347416,4,backbone.layers.10.mixer.experts.19.up_proj,backbone.layers.10.mixer.experts.19.down_proj
base,10,39,832,443.3818981349468,6,6,0.037538275661733,0.048177794096096835,5,backbone.layers.10.mixer.experts.39.up_proj,backbone.layers.10.mixer.experts.39.down_proj
base,10,120,686,333.15190798044205,6,6,0.03692801189793702,0.0416789231183602,6,backbone.layers.10.mixer.experts.120.up_proj,backbone.layers.10.mixer.experts.120.down_proj
base,10,60,551,252.67690996825695,6,6,0.03377341599935296,0.036973798615354,7,backbone.layers.10.mixer.experts.60.up_proj,backbone.layers.10.mixer.experts.60.down_proj
base,10,99,569,262.11400279402733,6,6,0.03167168284119053,0.03528094561527117,8,backbone.layers.10.mixer.experts.99.up_proj,backbone.layers.10.mixer.experts.99.down_proj
base,29,123,1417,739.7077767252922,6,6,0.07504223571052525,0.0947556893351364,1,backbone.layers.29.mixer.experts.123.up_proj,backbone.layers.29.mixer.experts.123.down_proj
base,29,52,1294,611.445805311203,6,6,0.07238729090197826,0.08256365390466362,2,backbone.layers.29.mixer.experts.52.up_proj,backbone.layers.29.mixer.experts.52.down_proj
base,29,44,1270,666.5483322739601,6,6,0.07122736883057423,0.08677680732228456,3,backbone.layers.29.mixer.experts.44.up_proj,backbone.layers.29.mixer.experts.44.down_proj
base,29,42,968,252.65270152315497,6,6,0.05119516725462681,0.03258822014406472,4,backbone.layers.29.mixer.experts.42.up_proj,backbone.layers.29.mixer.experts.42.down_proj
base,29,118,1107,434.113258741796,6,6,0.05075291848558182,0.04444303381478311,5,backbone.layers.29.mixer.experts.118.up_proj,backbone.layers.29.mixer.experts.118.down_proj
base,29,35,793,349.5150349587202,6,6,0.03779624683989884,0.03997787783975519,6,backbone.layers.29.mixer.experts.35.up_proj,backbone.layers.29.mixer.experts.35.down_proj
base,29,125,610,250.49137011170387,6,6,0.03029440272799791,0.02987532969917512,7,backbone.layers.29.mixer.experts.125.up_proj,backbone.layers.29.mixer.experts.125.down_proj
base,29,66,536,202.32008839398623,6,6,0.0302861168071137,0.027291413385068693,8,backbone.layers.29.mixer.experts.66.up_proj,backbone.layers.29.mixer.experts.66.down_proj
base,45,124,2706,1727.7674088738859,6,6,0.1375567434551987,0.2113640939488879,1,backbone.layers.45.mixer.experts.124.up_proj,backbone.layers.45.mixer.experts.124.down_proj
base,45,74,616,201.19039117638022,6,6,0.03923835032442004,0.03080290443217507,2,backbone.layers.45.mixer.experts.74.up_proj,backbone.layers.45.mixer.experts.74.down_proj
base,45,38,576,173.94986236281693,6,6,0.03236117783642219,0.023188242689217063,3,backbone.layers.45.mixer.experts.38.up_proj,backbone.layers.45.mixer.experts.38.down_proj
base,45,41,582,255.6424848176539,6,6,0.03166482129726901,0.03435847587567763,4,backbone.layers.45.mixer.experts.41.up_proj,backbone.layers.45.mixer.experts.41.down_proj
base,45,36,718,187.74857817590237,6,6,0.03030582952923388,0.018179073028594818,5,backbone.layers.45.mixer.experts.36.up_proj,backbone.layers.45.mixer.experts.36.down_proj
base,45,103,657,280.3435209952295,6,6,0.028934742028802883,0.028679258938652037,6,backbone.layers.45.mixer.experts.103.up_proj,backbone.layers.45.mixer.experts.103.down_proj
base,45,83,648,221.52869234234095,6,6,0.026824371447960155,0.022059054744698138,7,backbone.layers.45.mixer.experts.83.up_proj,backbone.layers.45.mixer.experts.83.down_proj
base,45,28,419,161.86554741300642,6,6,0.026647459775551944,0.02569534592020109,8,backbone.layers.45.mixer.experts.28.up_proj,backbone.layers.45.mixer.experts.28.down_proj
