variant,family,layer,assignments,active_experts,available_experts,expert_coverage,entropy,observed_normalized_entropy,available_normalized_entropy,top_expert_share
base,equation_transform,36,2214,90,128,0.703125,3.696196981804023,0.8214118490777721,0.7617835793996311,0.12556458897922312
base,equation_transform,38,2214,88,128,0.6875,3.568154627492295,0.7969368344043447,0.7353941408868773,0.12917795844625113
base,equation_transform,40,2214,73,128,0.5703125,3.3675726697186867,0.7848979149928328,0.6940543414909081,0.14588979223125564
base,equation_transform,43,2214,89,128,0.6953125,3.767917446622122,0.8394347717783549,0.7765651163886773,0.1120144534778681
base,equation_transform,45,2214,96,128,0.75,3.8527642395431942,0.844099546731599,0.7940519803004721,0.13504968383017163
base,equation_transform,47,2214,109,128,0.8515625,4.082714992689897,0.8702648141177609,0.8414446676166764,0.057362240289069555
base,equation_transform,49,2214,105,128,0.8203125,3.916216736568412,0.8414804686584533,0.8071294949848011,0.12827461607949414
base,equation_transform,51,2214,114,128,0.890625,4.279295014890485,0.9035294997702441,0.8819596709261951,0.08446251129177959
base,gravity_formula,1,3552,124,128,0.96875,4.605576662903141,0.9554580163461994,0.9492060874291862,0.029842342342342343
base,gravity_formula,3,3552,126,128,0.984375,4.583070052222979,0.9476432806026996,0.9445674909126878,0.028716216216216218
base,gravity_formula,6,3552,118,128,0.921875,4.375401182469203,0.9171432460722061,0.9017670839782895,0.047015765765765764
base,gravity_formula,8,3552,105,128,0.8203125,3.773722236395443,0.810862567032337,0.7777614794485878,0.11261261261261261
base,gravity_formula,10,3552,100,128,0.78125,3.8402132205598067,0.8338917055105196,0.7914652241796956,0.1044481981981982
base,gravity_formula,13,3552,89,128,0.6953125,3.6488823376943333,0.8129155576734948,0.7520320647684204,0.11092342342342343
base,gravity_formula,15,3552,99,128,0.7734375,3.81703286563392,0.8306710140589957,0.7866877694514637,0.09375
base,gravity_formula,17,3552,100,128,0.78125,4.065395770455666,0.8827894749308574,0.837875188183908,0.04983108108108108
base,gravity_formula,20,3552,98,128,0.765625,3.994369034812322,0.8711880844071993,0.8232366282863104,0.06756756756756757
base,gravity_formula,22,3552,116,128,0.90625,4.265905059361599,0.8974069887940298,0.8792000105777312,0.07010135135135136
base,gravity_formula,24,3552,103,128,0.8046875,3.6754807584695803,0.7930303514625853,0.7575139804466957,0.14189189189189189
base,gravity_formula,27,3552,108,128,0.84375,3.595932605857076,0.7680119226529474,0.7411191625487045,0.12612612612612611
base,gravity_formula,29,3552,103,128,0.8046875,3.970648198112216,0.8567163707297837,0.8183477806473133,0.08361486486486487
base,gravity_formula,31,3552,113,128,0.8828125,4.133749480433801,0.8744257164752274,0.8519628393855964,0.08051801801801801
base,gravity_formula,34,3552,101,128,0.7890625,3.912417401466576,0.8477389457522473,0.8063464547119306,0.07685810810810811
base,gravity_formula,36,3552,98,128,0.765625,3.8332163732326863,0.8360400354124521,0.7900231789024535,0.0982545045045045
base,gravity_formula,38,3552,88,128,0.6875,3.6463167565439876,0.8143941158844743,0.7515033003109058,0.1463963963963964
base,gravity_formula,40,3552,94,128,0.734375,3.78763675067439,0.8336762046467833,0.7806292509838186,0.09065315315315316
base,gravity_formula,43,3552,93,128,0.7265625,4.001379480666797,0.8828001429888309,0.8246814762104063,0.06953828828828829
base,gravity_formula,45,3552,113,128,0.8828125,3.876834031331832,0.820079540753188,0.7990127473360004,0.15484234234234234
base,gravity_formula,47,3552,110,128,0.859375,3.9464139816371313,0.8395767399342889,0.8133531258003941,0.08643018018018019
base,gravity_formula,49,3552,114,128,0.890625,4.032102397287813,0.8513372995708487,0.8310134475605185,0.12274774774774774
base,gravity_formula,51,3552,114,128,0.890625,4.210983505123971,0.8891062211617071,0.8678807171582255,0.07995495495495496
base,numeral_system,1,1902,120,128,0.9375,4.619428219270831,0.9648952870227716,0.952060883383509,0.02103049421661409
base,numeral_system,3,1902,121,128,0.9453125,4.565257203586054,0.9519300645391297,0.940896275428031,0.029442691903259727
base,numeral_system,6,1902,107,128,0.8359375,4.238056972398207,0.9069574603594988,0.8734605395833982,0.06309148264984227
base,numeral_system,8,1902,94,128,0.734375,3.882986969087976,0.8546632246362599,0.8002808634485271,0.11882229232386961
base,numeral_system,10,1902,85,128,0.6640625,3.650070699193424,0.8215973949926852,0.7522769852314949,0.11146161934805468
base,numeral_system,13,1902,79,128,0.6171875,3.6230521571347745,0.8291784864966802,0.746708482854343,0.11303890641430074
base,numeral_system,15,1902,83,128,0.6484375,3.512708369226604,0.7949389174682573,0.7239667063389114,0.13617245005257625
base,numeral_system,17,1902,88,128,0.6875,3.9385598972409768,0.8796657612411454,0.8117344045705289,0.08412197686645637
base,numeral_system,20,1902,87,128,0.6796875,3.8731660472029072,0.8672740110850627,0.798256778405592,0.09726603575184017
base,numeral_system,22,1902,110,128,0.859375,4.288361457000957,0.9123240867485288,0.883828258222093,0.054679284963196635
base,numeral_system,24,1902,84,128,0.65625,3.497530760258269,0.7893647873618509,0.7208386118830301,0.1277602523659306
base,numeral_system,27,1902,93,128,0.7265625,3.809941229414478,0.8405642799831765,0.7852261882506668,0.14826498422712933
base,numeral_system,29,1902,82,128,0.640625,3.7053924842333337,0.8408505911815661,0.7636787659358096,0.10672975814931651
base,numeral_system,31,1902,94,128,0.734375,3.8250397573034034,0.841908777795014,0.7883379841521063,0.1377497371188223
base,numeral_system,34,1902,89,128,0.6953125,3.7724712592232312,0.8404492920526673,0.7775036539396427,0.11724500525762356
base,numeral_system,36,1902,80,128,0.625,3.752292745985579,0.8562916337145522,0.7733448766567179,0.09200841219768664
base,numeral_system,38,1902,82,128,0.640625,3.700677538421655,0.839780646502289,0.7627070189442998,0.11041009463722397
base,numeral_system,40,1902,76,128,0.59375,3.3998075413618922,0.7850419950208964,0.7006979256999574,0.14721345951629863
base,numeral_system,43,1902,86,128,0.671875,3.781676602707797,0.8489855754822969,0.7794008687103374,0.11777076761303891
base,numeral_system,45,1902,95,128,0.7421875,3.8269080258972235,0.84036264418035,0.7887230329857282,0.14248159831756047
base,numeral_system,47,1902,103,128,0.8046875,4.041658696606045,0.8720377624819589,0.832982994079899,0.07255520504731862
base,numeral_system,49,1902,99,128,0.7734375,3.969367697916851,0.863822452378601,0.8180838704642117,0.07045215562565721
base,numeral_system,51,1902,112,128,0.875,4.184540483176788,0.8868372330516738,0.8624308290683227,0.09674027339642481
base,text_decryption,1,3630,128,128,1.0,4.639556741417755,0.9562093575380507,0.9562093575380507,0.03443526170798898
base,text_decryption,3,3630,128,128,1.0,4.59710752853945,0.9474606048367404,0.9474606048367404,0.03471074380165289
base,text_decryption,6,3630,125,128,0.9765625,4.204665649204368,0.8708352186644811,0.8665786115290451,0.10495867768595041
base,text_decryption,8,3630,109,128,0.8515625,3.7045510549514438,0.7896560110121672,0.763505347956918,0.12203856749311295
base,text_decryption,10,3630,104,128,0.8125,3.868703138692873,0.8329839633886321,0.7973369761233966,0.08209366391184574
base,text_decryption,13,3630,93,128,0.7265625,3.620133449364195,0.7986881379730567,0.7461069392505688,0.09834710743801653
base,text_decryption,15,3630,99,128,0.7734375,3.5087855612090717,0.7635895636337539,0.7231582183855895,0.11818181818181818
base,text_decryption,17,3630,99,128,0.7734375,3.894025839334417,0.8474263928546635,0.8025559667858925,0.10853994490358126
base,text_decryption,20,3630,88,128,0.6875,3.780980553459947,0.8444708785887011,0.7792574134534678,0.09504132231404959
base,text_decryption,22,3630,112,128,0.875,3.946783424338475,0.8364489495480572,0.8134292676794114,0.11239669421487604
base,text_decryption,24,3630,100,128,0.78125,3.437638946927735,0.7464738127132103,0.7084949515856289,0.1322314049586777
base,text_decryption,27,3630,93,128,0.7265625,3.4433614325406054,0.7596879975259219,0.7096743518163784,0.14765840220385676
base,text_decryption,29,3630,100,128,0.78125,3.657400335177154,0.7941943918392708,0.7537876180151019,0.15619834710743802
base,text_decryption,31,3630,106,128,0.828125,3.8540021037830186,0.8264291708342408,0.7943071032433419,0.11267217630853994
base,text_decryption,34,3630,96,128,0.75,3.602950234846357,0.7893679631149468,0.742565490911795,0.153168044077135
base,text_decryption,36,3630,106,128,0.828125,3.645328357460859,0.7816824201828545,0.7512995919600989,0.14793388429752066
base,text_decryption,38,3630,103,128,0.8046875,3.625950990127324,0.7823436924436777,0.7473059302804453,0.11074380165289256
base,text_decryption,40,3630,84,128,0.65625,3.420638647296771,0.7720108509541053,0.7049912018754548,0.15289256198347106
base,text_decryption,43,3630,100,128,0.78125,3.449642260131167,0.7490802990576139,0.7109688259331758,0.15757575757575756
base,text_decryption,45,3630,119,128,0.9296875,3.9875404037974866,0.8343664710788485,0.8218292522718584,0.09862258953168045
base,text_decryption,47,3630,120,128,0.9375,4.03081987609172,0.8419481625569095,0.8307491208505987,0.09669421487603305
base,text_decryption,49,3630,122,128,0.953125,4.142619206845898,0.8623232846549523,0.8537908837154211,0.1418732782369146
base,text_decryption,51,3630,122,128,0.953125,4.042811457215723,0.8415474078007917,0.8332205772248868,0.13829201101928373
base,unit_conversion,1,2682,124,128,0.96875,4.605825726330859,0.9555096862381607,0.9492574192251912,0.027218493661446682
base,unit_conversion,3,2682,126,128,0.984375,4.618475840798788,0.9549641500757795,0.9518645988551282,0.02535421327367636
base,unit_conversion,6,2682,119,128,0.9296875,4.410911539322809,0.9229540826221693,0.909085743368703,0.045115585384041756
base,unit_conversion,8,2682,98,128,0.765625,3.842625191377682,0.8380921368043956,0.7919623296565124,0.11036539895600299
base,unit_conversion,10,2682,90,128,0.703125,3.8290840477385366,0.8509435572321662,0.7891715095456323,0.07196122296793438
base,unit_conversion,13,2682,87,128,0.6796875,3.7118405317025496,0.8311502236684603,0.7650077039511317,0.1058911260253542
base,unit_conversion,15,2682,88,128,0.6875,3.502936276922901,0.7823705077526397,0.7219526850381026,0.10477255779269203
